,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
365,500,0.0001,11,11,0.258
366,500,0.0001,11,13,0.355
367,500,0.0001,11,15,0.323
368,500,0.0001,13,1,0.312
369,500,0.0001,13,3,0.43
370,500,0.0001,13,5,0.293
371,500,0.0001,13,7,0.41
372,500,0.0001,13,9,0.187
373,500,0.0001,13,11,0.359
374,500,0.0001,13,13,0.387
375,500,0.0001,13,15,0.49
376,500,0.0001,15,1,0.359
377,500,0.0001,15,3,0.194
378,500,0.0001,15,5,0.502
379,500,0.0001,15,7,0.4
380,500,0.0001,15,9,0.289
381,500,0.0001,15,11,0.322
382,500,0.0001,15,13,0.413
383,500,0.0001,15,15,0.526
384,500,1e-05,1,1,0.306
385,500,1e-05,1,3,0.162
386,500,1e-05,1,5,0.342
387,500,1e-05,1,7,0.293
388,500,1e-05,1,9,0.302
389,500,1e-05,1,11,0.177
390,500,1e-05,1,13,0.295
391,500,1e-05,1,15,0.225
392,500,1e-05,3,1,0.289
393,500,1e-05,3,3,0.341
394,500,1e-05,3,5,0.261
395,500,1e-05,3,7,0.224
396,500,1e-05,3,9,0.291
397,500,1e-05,3,11,0.159
398,500,1e-05,3,13,0.456
399,500,1e-05,3,15,0.173
400,500,1e-05,5,1,0.295
401,500,1e-05,5,3,0.237
402,500,1e-05,5,5,0.293
403,500,1e-05,5,7,0.359
404,500,1e-05,5,9,0.245
405,500,1e-05,5,11,0.241
406,500,1e-05,5,13,0.356
407,500,1e-05,5,15,0.22
408,500,1e-05,7,1,0.276
409,500,1e-05,7,3,0.177
410,500,1e-05,7,5,0.335
411,500,1e-05,7,7,0.141
412,500,1e-05,7,9,0.159
413,500,1e-05,7,11,0.279
414,500,1e-05,7,13,0.212
415,500,1e-05,7,15,0.159
416,500,1e-05,9,1,0.322
417,500,1e-05,9,3,0.143
418,500,1e-05,9,5,0.299
419,500,1e-05,9,7,0.202
420,500,1e-05,9,9,0.222
421,500,1e-05,9,11,0.163
422,500,1e-05,9,13,0.362
423,500,1e-05,9,15,0.347
424,500,1e-05,11,1,0.252
425,500,1e-05,11,3,0.141
426,500,1e-05,11,5,0.115
427,500,1e-05,11,7,0.286
