,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
95,100,0.001,19,11,0.491
96,100,0.001,19,13,0.531
97,100,0.001,19,15,0.571
98,100,0.001,19,17,0.593
99,100,0.001,19,19,0.611
100,100,0.0001,1,1,0.491
101,100,0.0001,1,3,0.614
102,100,0.0001,1,5,0.429
103,100,0.0001,1,7,0.549
104,100,0.0001,1,9,0.45
105,100,0.0001,1,11,0.574
106,100,0.0001,1,13,0.473
107,100,0.0001,1,15,0.509
108,100,0.0001,1,17,0.571
109,100,0.0001,1,19,0.509
110,100,0.0001,3,1,0.593
111,100,0.0001,3,3,0.531
112,100,0.0001,3,5,0.487
113,100,0.0001,3,7,0.553
114,100,0.0001,3,9,0.491
115,100,0.0001,3,11,0.534
116,100,0.0001,3,13,0.571
117,100,0.0001,3,15,0.534
118,100,0.0001,3,17,0.411
119,100,0.0001,3,19,0.513
120,100,0.0001,5,1,0.509
121,100,0.0001,5,3,0.556
122,100,0.0001,5,5,0.487
123,100,0.0001,5,7,0.451
124,100,0.0001,5,9,0.491
125,100,0.0001,5,11,0.451
126,100,0.0001,5,13,0.469
127,100,0.0001,5,15,0.584
128,100,0.0001,5,17,0.473
129,100,0.0001,5,19,0.451
130,100,0.0001,7,1,0.593
131,100,0.0001,7,3,0.531
132,100,0.0001,7,5,0.473
133,100,0.0001,7,7,0.469
134,100,0.0001,7,9,0.426
135,100,0.0001,7,11,0.487
136,100,0.0001,7,13,0.531
137,100,0.0001,7,15,0.509
138,100,0.0001,7,17,0.574
139,100,0.0001,7,19,0.509
140,100,0.0001,9,1,0.534
141,100,0.0001,9,3,0.509
142,100,0.0001,9,5,0.553
143,100,0.0001,9,7,0.389
144,100,0.0001,9,9,0.528
145,100,0.0001,9,11,0.509
146,100,0.0001,9,13,0.509
147,100,0.0001,9,15,0.429
148,100,0.0001,9,17,0.491
149,100,0.0001,9,19,0.531
150,100,0.0001,11,1,0.469
151,100,0.0001,11,3,0.469
152,100,0.0001,11,5,0.513
153,100,0.0001,11,7,0.469
154,100,0.0001,11,9,0.553
155,100,0.0001,11,11,0.589
156,100,0.0001,11,13,0.571
157,100,0.0001,11,15,0.509
158,100,0.0001,11,17,0.473
159,100,0.0001,11,19,0.549
160,100,0.0001,13,1,0.611
161,100,0.0001,13,3,0.509
162,100,0.0001,13,5,0.498
163,100,0.0001,13,7,0.549
