,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
166,500,1e-05,31,11,0.616
167,500,1e-05,31,21,0.616
168,500,1e-05,31,31,0.616
169,500,1e-05,31,41,0.616
170,500,1e-05,41,1,0.616
171,500,1e-05,41,11,0.616
172,500,1e-05,41,21,0.616
173,500,1e-05,41,31,0.616
174,500,1e-05,41,41,0.616
175,500,1e-07,1,1,0.502
176,500,1e-07,1,11,0.477
177,500,1e-07,1,21,0.481
178,500,1e-07,1,31,0.43
179,500,1e-07,1,41,0.523
180,500,1e-07,11,1,0.451
181,500,1e-07,11,11,0.54
182,500,1e-07,11,21,0.574
183,500,1e-07,11,31,0.519
184,500,1e-07,11,41,0.502
185,500,1e-07,21,1,0.498
186,500,1e-07,21,11,0.502
187,500,1e-07,21,21,0.523
188,500,1e-07,21,31,0.523
189,500,1e-07,21,41,0.502
190,500,1e-07,31,1,0.481
191,500,1e-07,31,11,0.481
192,500,1e-07,31,21,0.502
193,500,1e-07,31,31,0.544
194,500,1e-07,31,41,0.523
195,500,1e-07,41,1,0.5
196,500,1e-07,41,11,0.507
197,500,1e-07,41,21,0.409
198,500,1e-07,41,31,0.498
199,500,1e-07,41,41,0.477
200,1000,0.001,1,1,0.616
201,1000,0.001,1,11,0.616
202,1000,0.001,1,21,0.616
203,1000,0.001,1,31,0.616
204,1000,0.001,1,41,0.616
205,1000,0.001,11,1,0.616
206,1000,0.001,11,11,0.616
207,1000,0.001,11,21,0.616
208,1000,0.001,11,31,0.616
209,1000,0.001,11,41,0.616
210,1000,0.001,21,1,0.616
211,1000,0.001,21,11,0.616
212,1000,0.001,21,21,0.616
213,1000,0.001,21,31,0.616
214,1000,0.001,21,41,0.616
215,1000,0.001,31,1,0.616
216,1000,0.001,31,11,0.616
217,1000,0.001,31,21,0.616
218,1000,0.001,31,31,0.616
219,1000,0.001,31,41,0.616
220,1000,0.001,41,1,0.616
221,1000,0.001,41,11,0.616
222,1000,0.001,41,21,0.616
223,1000,0.001,41,31,0.616
224,1000,0.001,41,41,0.616
225,1000,0.0001,1,1,0.616
226,1000,0.0001,1,11,0.616
227,1000,0.0001,1,21,0.616
228,1000,0.0001,1,31,0.616
229,1000,0.0001,1,41,0.616
230,1000,0.0001,11,1,0.616
231,1000,0.0001,11,11,0.616
232,1000,0.0001,11,21,0.616
233,1000,0.0001,11,31,0.616
234,1000,0.0001,11,41,0.616
235,1000,0.0001,21,1,0.616
236,1000,0.0001,21,11,0.616
237,1000,0.0001,21,21,0.616
238,1000,0.0001,21,31,0.616
239,1000,0.0001,21,41,0.616
240,1000,0.0001,31,1,0.616
241,1000,0.0001,31,11,0.616
242,1000,0.0001,31,21,0.616
243,1000,0.0001,31,31,0.616
244,1000,0.0001,31,41,0.616
245,1000,0.0001,41,1,0.616
246,1000,0.0001,41,11,0.616
247,1000,0.0001,41,21,0.616
248,1000,0.0001,41,31,0.616
249,1000,0.0001,41,41,0.616
250,1000,1e-05,1,1,0.616
251,1000,1e-05,1,11,0.616
252,1000,1e-05,1,21,0.616
253,1000,1e-05,1,31,0.616
254,1000,1e-05,1,41,0.616
