,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
54,100,0.0001,1,51,0.523
66,100,0.0001,21,31,0.523
69,100,0.0001,21,61,0.523
71,100,0.0001,31,11,0.523
80,100,0.0001,41,31,0.523
85,100,0.0001,51,11,0.523
87,100,0.0001,51,31,0.523
122,100,1.00E-05,31,31,0.523
123,100,1.00E-05,31,41,0.523
125,100,1.00E-05,31,61,0.523
140,100,1.00E-05,61,1,0.523
153,100,1.00E-07,1,61,0.523
154,100,1.00E-07,11,1,0.523
160,100,1.00E-07,11,61,0.523
178,100,1.00E-07,41,31,0.523
181,100,1.00E-07,41,61,0.523
246,500,0.0001,1,11,0.523
255,500,0.0001,11,31,0.523
271,500,0.0001,31,51,0.523
274,500,0.0001,41,11,0.523
281,500,0.0001,51,11,0.523
290,500,0.0001,61,31,0.523
306,500,1.00E-05,11,51,0.523
328,500,1.00E-05,41,61,0.523
344,500,1.00E-07,1,11,0.523
350,500,1.00E-07,11,1,0.523
352,500,1.00E-07,11,21,0.523
370,500,1.00E-07,31,61,0.523
372,500,1.00E-07,41,11,0.523
387,500,1.00E-07,61,21,0.523
456,1000,0.0001,21,11,0.523
465,1000,0.0001,31,31,0.523
477,1000,0.0001,51,11,0.523
492,1000,1.00E-05,1,21,0.523
494,1000,1.00E-05,1,41,0.523
518,1000,1.00E-05,41,1,0.523
519,1000,1.00E-05,41,11,0.523
530,1000,1.00E-05,51,51,0.523
535,1000,1.00E-05,61,31,0.523
543,1000,1.00E-07,1,41,0.523
546,1000,1.00E-07,11,1,0.523
547,1000,1.00E-07,11,11,0.523
561,1000,1.00E-07,31,11,0.523
562,1000,1.00E-07,31,21,0.523
567,1000,1.00E-07,41,1,0.523
569,1000,1.00E-07,41,21,0.523
572,1000,1.00E-07,41,51,0.523
585,1000,1.00E-07,61,41,0.523
7,100,0.001,11,1,0.519
26,100,0.001,31,51,0.519
41,100,0.001,51,61,0.519
57,100,0.0001,11,11,0.519
82,100,0.0001,41,51,0.519
102,100,1.00E-05,1,41,0.519
107,100,1.00E-05,11,21,0.519
111,100,1.00E-05,11,61,0.519
133,100,1.00E-05,51,1,0.519
135,100,1.00E-05,51,21,0.519
151,100,1.00E-07,1,41,0.519
162,100,1.00E-07,21,11,0.519
191,100,1.00E-07,61,21,0.519
284,500,0.0001,51,41,0.519
292,500,0.0001,61,51,0.519
321,500,1.00E-05,31,61,0.519
325,500,1.00E-05,41,31,0.519
339,500,1.00E-05,61,31,0.519
346,500,1.00E-07,1,31,0.519
349,500,1.00E-07,1,61,0.519
356,500,1.00E-07,11,61,0.519
365,500,1.00E-07,31,11,0.519
381,500,1.00E-07,51,31,0.519
441,1000,0.0001,1,1,0.519
448,1000,0.0001,11,1,0.519
455,1000,0.0001,21,1,0.519
462,1000,0.0001,31,1,0.519
529,1000,1.00E-05,51,41,0.519
536,1000,1.00E-05,61,41,0.519
542,1000,1.00E-07,1,31,0.519
555,1000,1.00E-07,21,21,0.519
575,1000,1.00E-07,51,11,0.519
72,100,0.0001,31,21,0.514
124,100,1.00E-05,31,51,0.514
312,500,1.00E-05,21,41,0.514
514,1000,1.00E-05,31,31,0.514
386,500,1.00E-07,61,11,0.509
36,100,0.001,51,11,0.507
104,100,1.00E-05,1,61,0.507
145,100,1.00E-05,61,51,0.507
267,500,0.0001,31,11,0.507
283,500,0.0001,51,31,0.507
348,500,1.00E-07,1,51,0.507
384,500,1.00E-07,51,61,0.507
550,1000,1.00E-07,11,41,0.507
582,1000,1.00E-07,61,11,0.507
29,100,0.001,41,11,0.502
42,100,0.001,61,1,0.502
64,100,0.0001,21,11,0.502
65,100,0.0001,21,21,0.502
78,100,0.0001,41,11,0.502
109,100,1.00E-05,11,41,0.502
119,100,1.00E-05,31,1,0.502
120,100,1.00E-05,31,11,0.502
131,100,1.00E-05,41,51,0.502
137,100,1.00E-05,51,41,0.502
152,100,1.00E-07,1,51,0.502
164,100,1.00E-07,21,31,0.502
172,100,1.00E-07,31,41,0.502
185,100,1.00E-07,51,31,0.502
245,500,0.0001,1,1,0.502
254,500,0.0001,11,21,0.502
273,500,0.0001,41,1,0.502
276,500,0.0001,41,31,0.502
285,500,0.0001,51,51,0.502
288,500,0.0001,61,11,0.502
295,500,1.00E-05,1,11,0.502
305,500,1.00E-05,11,41,0.502
310,500,1.00E-05,21,21,0.502
337,500,1.00E-05,61,11,0.502
361,500,1.00E-07,21,41,0.502
377,500,1.00E-07,41,61,0.502
379,500,1.00E-07,51,11,0.502
457,1000,0.0001,21,21,0.502
475,1000,0.0001,41,61,0.502
501,1000,1.00E-05,11,41,0.502
504,1000,1.00E-05,21,1,0.502
511,1000,1.00E-05,31,1,0.502
512,1000,1.00E-05,31,11,0.502
516,1000,1.00E-05,31,51,0.502
517,1000,1.00E-05,31,61,0.502
520,1000,1.00E-05,41,21,0.502
526,1000,1.00E-05,51,11,0.502
532,1000,1.00E-05,61,1,0.502
552,1000,1.00E-07,11,61,0.502
553,1000,1.00E-07,21,1,0.502
565,1000,1.00E-07,31,51,0.502
571,1000,1.00E-07,41,41,0.502
577,1000,1.00E-07,51,31,0.502
578,1000,1.00E-07,51,41,0.502
280,500,0.0001,51,1,0.5
471,1000,0.0001,41,21,0.5
40,100,0.001,51,51,0.498
55,100,0.0001,1,61,0.498
74,100,0.0001,31,41,0.498
83,100,0.0001,41,61,0.498
